#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL,GP
99,Rhamondre Stevenson,RB,NE,21.6,17,0.3,8.2,19.2,-,4.5,23.5,22.4,8.7,12.9,3.3,12.4,BYE,9.5,12.3,0.1,-,11.7,175.9,16
100,Anthony Richardson Sr.,QB,IND,27.1,12.9,7.1,5.2,-,-,8.8,12.5,-,-,28.1,13,23.2,BYE,16.4,21.2,-,-,15.9,175.4,12
101,Cooper Kupp,WR,SEA,32,7.7,-,-,-,-,-,16.1,21.4,15,28.6,20,4.7,20.2,0,5.4,3.9,-,14.6,175,12
102,Quentin Johnston,WR,LAC,6.8,22.1,12.4,2.3,BYE,5.2,-,-,22,10.4,12.8,0,3.2,15.8,15.5,4.8,9.8,31.6,11.6,174.7,16
103,Sam LaPorta,TE,DET,8.5,3.3,5.6,9.3,BYE,12.2,3.5,16.8,4.8,15.6,-,4.9,15.6,10.4,18.1,14.3,18.4,13.3,10.9,174.6,17
104,Rashod Bateman,WR,BAL,7.3,7,11.8,3.3,15.8,11.1,22.1,3.8,5.5,17.4,5,12.3,0,BYE,23,8.4,2.2,18.6,10.3,174.6,18
105,Ka'imi Fairbairn,K,HOU,17,20,1,6,16,12,12,11,9,13,10,11,13,BYE,9,7,0,5,10.1,172,18
106,Pat Freiermuth,TE,PIT,6.7,7.9,7.3,16.7,9.2,3.6,7.1,3.9,BYE,10.7,3.4,9.9,18.8,13.8,11.2,4.6,11,22.5,9.9,168.3,18
107,Jason Sanders,K,MIA,10,4,3,9,12,BYE,4,11,9,15,11,12,3,16,8,21,10,8,9.8,166,18
108,Michael Pittman Jr.,WR,IND,7.1,5.1,7.6,17.3,14.7,12.5,9.3,2.6,2.4,-,9.6,15.6,9.2,BYE,9.8,3.9,25.9,13.2,10.4,165.8,17
109,George Pickens,WR,DAL,13.5,4.9,10.7,16.3,5.6,8.3,22.1,11.4,-,20.5,16.9,8.8,16.4,-,-,-,8,1,11.7,164.4,14
110,Chase McLaughlin,K,TB,15,10,1,11,16,9,5,8,7,8,BYE,6,16,4,18,7,12,11,9.6,164,18
